Dataset,R²,MAE,RMSE,Records,Valid Records
pri de imb down af_wavg,0.03412368175726066,206.67082489347013,311.7027239570079,18012,18012
pri de imb down mf_wavg,0.009798735355643906,678.8528214037576,998.9570031451449,18012,18012
pri de imb up afrr_wavg,-0.1958862245891908,375.3508410977994,617.173265086007,18012,18012
pri de imb up mfrr_wavg,0.18691893810882632,633.7884077815872,936.3348460022917,18012,18012
