variable,MAE,RMSE,R2
con cooling % cet min15 s,0.0009480998743718593,0.0017455926498225825,0.9682878040409555
con heating % cet min15 s,0.0033411589195979905,0.005761663565993093,0.6972645773260453
con intraday mwh/h cet h a,105.69237129231888,123.64869618476379,-2.190808333425011
pri spot €/mwh cet h a,0.39310097361809043,1.3516749968164459,0.8927120872975168
pro hydro tot mwh/h cet h af,420.6986774685406,468.1851142790321,-18.4195500838049
pro wnd mwh/h cet min15 a,82.18206282905305,93.414231497629,-5.878613149465046
rdl mwh/h cet min15 a,155.99893254750546,177.4126884731749,-3.311297467572154
